carat colour clarity cut cost certificate       
2.098 	D 	SI1 	3EX  	3140480 	
2.051 	E 	VVS2 	3EX  	6686410 	GIA 
2.057 	E 	VS1 	3EX  	5307840 	
2.535 	F 	VS1 	3EX  	5477400 	
2.030 	F 	VS1 	3EX  	4275760 	GIA 
1.504 	D 	VVS1 	3EX  	3678630 	GIA 
1.517 	D 	VS1 	3EX  	2580200 	
1.513 	D 	SI2 	3EX  	1415430 	sold
1.520 	F 	VVS2 	3EX  	2418020 	GIA 
1.578 	F 	VS1 	3EX  	2403280 	GIA 
1.555 	F 	VS1 	3EX  	2241090 	GIA 
1.533 	F 	VS2 	3EX  	1717680 	
1.548 	G 	VS1     3EX  	1931470 	GIA 
1.040 	D 	IF 	3EX  	2580200 	GIA 
1.039 	D 	IF 	3EX  	2521230 	
1.016 	D 	IF 	3EX  	2506480 	GIA 
1.261 	D 	VVS1 	3EX  	2263210 	
1.045 	D 	VVS1 	3EX  	1859220 	
1.030 	D 	VVS1 	3EX  	1835630 	
1.024 	D 	VVS1 	3EX  	1828260 	
1.205 	D 	VVS2 	3EX  	2160000 	GIA 
1.150 	D 	VVS2 	3EX  	1651330 	
1.017 	D 	VVS2 	3EX  	1496520 	
1.017 	D 	VVS2 	3EX  	1437540 	
1.225 	D 	VS1 	3EX  	1533380 	
1.127 	D 	VS1 	3EX  	1378570 	
1.057 	D 	VS1 	3EX  	1297480 	
1.034 	D 	VS1 	3EX  	1267990 	
1.075 	D 	VS2 	3EX  	1201640 	
1.032 	D 	VS2 	3EX  	1150040 	
1.001 	D 	VS2 	3EX  	1120550 	
1.057 	D 	SI1 	3EX  	862530 	
1.004 	D 	SI1 	3EX  	810920 	
1.070 	D 	SI2 	3EX  	759320 	GIA 
1.010 	D 	SI2 	3EX  	715090 	
1.005 	D 	SI2 	3EX  	715090 	GIA 
1.031 	E 	IF 	3EX  	1865120 	
1.013 	E 	IF 	3EX  	1931470 	GIA 
1.086 	E 	VVS1 	3EX  	1437540 	
1.085 	E 	VVS2 	3EX  	1267990 	
1.275 	E 	VS1 	3EX  	1548120 	GIA 
1.120 	E 	VS1 	3EX  	1223760 	
1.019 	E 	VS1 	3EX  	1113180 	
1.018 	E 	VS1 	3EX  	1150040 	sold
1.009 	E 	VS1 	3EX  	1142660 	
1.009 	E 	VS1 	3EX  	1098430 	
1.081 	E 	VS2 	3EX  	1091060 	GIA 
1.070 	E 	VS2 	3EX  	1076320 	
1.021 	E 	VS2 	3EX  	1046830 	
1.017 	E 	VS2 	3EX  	1024710 	
1.137 	E 	SI1 	3EX  	847780 	
1.009 	E 	SI1 	3EX  	759320 	
1.121 	E 	SI2 	3EX  	700340 	
1.063 	E 	SI2 	3EX  	670860 	
1.076 	F 	VVS1 	3EX  	1216380 	
1.056 	F 	VVS1 	3EX  	1194270 	
1.097 	F 	VVS2 	3EX  	1194270 	
1.080 	F 	VVS2 	3EX  	1179520 	sold
1.075 	F 	VVS2 	3EX  	1172150 	GIA 
1.048 	F 	VVS2 	3EX  	1157410 	GIA 
1.126 	F 	VS1 	3EX  	1120550 	
1.065 	F 	VS1 	3EX  	1061570 	
1.061 	F 	VS1 	3EX  	1142660 	GIA 
1.013 	F 	VS1 	3EX  	1105800 	GIA 
1.011 	F 	VS1 	3EX  	1120550 	GIA 
1.011 	F 	VS1 	3EX  	1009970 	
1.117 	F 	VS2 	3EX  	1083690 	GIA 
1.055 	F 	VS2 	3EX  	1009970 	
1.034 	F 	VS2 	3EX  	973110 	
1.019 	F 	VS2 	3EX  	958360 	
1.018 	F 	VS2 	3EX  	973110 	sold
1.006 	F 	SI1 	3EX  	685600 	
1.033 	F 	SI2 	3EX  	589760 	
1.139 	G 	VVS2 	3EX  	1054200 	sold
1.067 	G 	VS1 	3EX  	914130 	
1.065 	G 	VS1 	3EX  	914130 	
1.055 	G 	VS1 	3EX  	906760 	
1.015 	G 	VS1 	3EX  	869900 	
1.009 	G 	VS1 	3EX  	906760 	
1.044 	G 	VS2 	3EX  	781440 	
1.010 	G 	VS2 	3EX  	759320 	sold
1.268 	G 	SI1 	3EX  	943620 	GIA 
1.027 	G 	SI1 	3EX  	715090 	
1.040 	G 	SI2 	3EX  	552900 	
1.445 	H 	VVS2 	3EX  	1430170 	GIA 
1.024 	H 	VS1 	3EX  	781440 	
1.033 	H 	SI1 	3EX  	652430 	sold
1.016 	I 	VS2 	3EX  	628100 	
1.041 	I 	SI1 	3EX  	615570 	
1.021 	J 	VS1 	3EX  	597140 	
0.905 	D 	VS1 	3EX  	803550 	
0.921 	F 	VS1 	3EX  	692970 	
0.914 	G 	SI2 	3EX  	420210 	
0.862 	D 	IF 	3EX  	1032080 	
0.841 	D 	IF 	3EX  	1009970 	
0.800 	D 	IF 	3EX  	980480 	sold
0.813 	D 	VVS1 	3EX  	744580 	
0.810 	D 	VVS1 	3EX  	737200 	
0.806 	D 	VVS1 	3EX  	737200 	
0.803 	D 	VVS2 	3EX  	626620 	
0.802 	D 	VVS2 	3EX  	611880 	
0.868 	D 	VS1 	3EX  	648740 	
0.829 	D 	VS1 	3EX  	619250 	
0.818 	D 	VS1 	3EX  	622200 	GIA 
0.811 	D 	VS1 	3EX  	622200 	GIA 
0.802 	D 	VS1 	3EX  	599350 	
0.838 	D 	VS2 	3EX  	546270 	
0.828 	D 	VS2 	3EX  	585340 	GIA 
0.821 	D 	VS2 	3EX  	547010 	
0.808 	D 	VS2 	3EX  	538160 	
0.803 	D 	VS2 	3EX  	534470 	
0.803 	D 	VS2 	3EX  	540370 	
0.813 	D 	SI1 	3EX  	431270 	
0.805 	D 	SI1 	3EX  	448220 	
0.801 	D 	SI1 	3EX  	424630 	
0.800 	D 	SI1 	3EX  	446010 	
0.867 	D 	SI2 	3EX  	435690 	
0.860 	D 	SI2 	3EX  	432740 	
0.836 	E 	VVS1 	3EX  	613360 	
0.831 	E 	VVS1 	3EX  	609670 	
0.822 	E 	VVS1 	3EX  	603030 	
0.808 	E 	VVS1 	3EX  	592710 	sold
0.808 	E 	VVS2 	3EX  	532260 	
0.830 	E 	VS1 	3EX  	530050 	
0.807 	E 	VS1 	3EX  	500560 	
0.806 	E 	VS1 	3EX  	487290 	
0.833 	E 	VS2 	3EX  	498350 	GIA 
0.818 	E 	VS2 	3EX  	477710 	
0.814 	E 	VS2 	3EX  	486560 	GIA 
0.814 	E 	VS2 	3EX  	470340 	
0.824 	E 	SI1 	3EX  	397360 	
0.810 	E 	SI1 	3EX  	401780 	
0.841 	F 	VVS2 	3EX  	525630 	
0.830 	F 	VVS2 	3EX  	518990 	
0.822 	F 	VVS2 	3EX  	502780 	
0.854 	F 	VS1 	3EX  	499090 	
0.815 	F 	VS1 	3EX  	487290 	GIA 
0.807 	F 	VS1 	3EX  	471810 	
0.804 	F 	VS1 	3EX  	469600 	
0.802 	F 	VS1 	3EX  	468860 	sold
0.886 	F 	VS2 	3EX  	505720 	sold
0.836 	F 	VS2 	3EX  	476970 	
0.819 	F 	VS2 	3EX  	473290 	
0.824 	G 	VVS2 	3EX  	467390 	
0.823 	G 	VVS2 	3EX  	467390 	
0.832 	G 	VS1 	3EX  	429790 	
0.812 	G 	VS1 	3EX  	419470 	
0.817 	G 	VS2 	3EX  	421680 	GIA 
0.803 	G 	VS2 	3EX  	392930 	
0.802 	G 	SI1 	3EX  	337640 	GIA 
0.737 	D 	IF 	3EX  	796180 	
0.712 	D 	IF 	3EX  	788810 	GIA 
0.706 	D 	IF 	3EX  	759320 	
0.702 	D 	IF 	3EX  	759320 	
0.773 	D 	VVS1 	3EX  	619990 	
0.748 	D 	VVS1 	3EX  	599350 	
0.718 	D 	VVS1 	3EX  	575760 	
0.714 	D 	VVS1 	3EX  	577230 	GIA 
0.711 	D 	VVS2 	3EX  	473290 	
0.701 	D 	VVS2 	3EX  	457070 	
0.761 	D 	VS1 	3EX  	465180 	
0.748 	D 	VS1 	3EX  	467390 	GIA 
0.730 	D 	VS1 	3EX  	456330 	GIA 
0.721 	D 	VS1 	3EX  	431270 	
0.714 	D 	VS1 	3EX  	426840 	
0.702 	D 	VS1 	3EX  	419470 	
0.776 	D 	VS2 	3EX  	406200 	
0.754 	D 	VS2 	3EX  	394410 	
0.701 	D 	VS2 	3EX  	367130 	
0.738 	D 	SI1 	3EX  	341330 	
0.722 	D 	SI1 	3EX  	353120 	
0.708 	D 	SI1 	3EX  	336910 	GIA 
0.704 	D 	SI1 	3EX  	325110 	
0.748 	D 	SI2 	3EX  	335430 	
0.764 	E 	IF 	3EX  	544800 	
0.715 	E 	IF 	3EX  	504990 	
0.740 	E 	VVS1 	3EX  	452650 	
0.727 	E 	VVS1 	3EX  	493930 	GIA 
0.723 	E 	VVS1 	3EX  	461490 	
0.704 	E 	VVS1 	3EX  	478450 	GIA 
0.733 	E 	VVS2 	3EX  	449700 	GIA 
0.730 	E 	VVS2 	3EX  	446750 	GIA 
0.720 	E 	VVS2 	3EX  	440110 	GIA 
0.717 	E 	VVS2 	3EX  	409150 	
0.713 	E 	VVS2 	3EX  	406940 	
0.712 	E 	VVS2 	3EX  	435690 	GIA 
0.748 	E 	VS1 	3EX  	406940 	sold
0.710 	E 	VS1 	3EX  	400300 	GIA 
0.708 	E 	VS1 	3EX  	384820 	
0.705 	E 	VS1 	3EX  	383350 	
0.704 	E 	VS1 	3EX  	382610 	
0.704 	E 	VS1 	3EX  	382610 	
0.704 	E 	VS1 	3EX  	406940 	GIA 
0.731 	E 	VS2 	3EX  	377450 	
0.722 	E 	VS2 	3EX  	367870 	
0.718 	E 	VS2 	3EX  	375980 	
0.710 	E 	VS2 	3EX  	376710 	
0.707 	E 	VS2 	3EX  	384090 	GIA 
0.702 	E 	VS2 	3EX  	362710 	
0.701 	E 	VS2 	3EX  	367870 	
0.734 	E 	SI1 	3EX  	299310 	
0.712 	E 	SI1 	3EX  	290460 	
0.705 	E 	SI1 	3EX  	297100 	sold
0.704 	E 	SI1 	3EX  	296360 	
0.731 	E 	SI2 	3EX  	273510 	
0.711 	E 	SI2 	3EX  	266130 	
0.711 	F 	IF 	3EX  	463700 	
0.714 	F 	VVS1 	3EX  	422420 	
0.707 	F 	VVS1 	3EX  	423160 	GIA 
0.706 	F 	VVS1 	3EX  	422420 	GIA 
0.701 	F 	VVS1 	3EX  	419470 	GIA 
0.743 	F 	VVS2 	3EX  	409150 	
0.735 	F 	VVS2 	3EX  	404730 	
0.726 	F 	VVS2 	3EX  	406940 	
0.713 	F 	VVS2 	3EX  	402520 	GIA 
0.710 	F 	VVS2 	3EX  	395880 	
0.704 	F 	VVS2 	3EX  	382610 	
0.702 	F 	VVS2 	3EX  	405460 	
0.769 	F 	VS1 	3EX  	418000 	
0.742 	F 	VS1 	3EX  	387770 	
0.705 	F 	VS1 	3EX  	364180 	
0.732 	F 	VS2 	3EX  	358280 	
0.712 	F 	VS2 	3EX  	348700 	
0.708 	F 	VS2 	3EX  	346490 	
0.707 	F 	VS2 	3EX  	345750 	
0.703 	F 	VS2 	3EX  	344280 	
0.700 	F 	VS2 	3EX  	356810 	GIA 
0.776 	F 	SI1 	3EX  	347960 	
0.740 	F 	SI1 	3EX  	331740 	GIA 
0.737 	F 	SI1 	3EX  	300780 	
