carat colour clarity cut cost fluorescence size certificate
2.123 	F 	VS1 	3Ex  	4246042 	Strong 	8.18-8.21x5.12 	GIA
1.640 	F 	VVS1 	3Ex  	2897317 	Medium 	7.56-7.59x4.67 	-
1.402 	D 	IF 	3Ex  	3740958 	None 	7.19-7.20x4.37 	GIA
1.063 	D 	IF 	3Ex  	2630261 	None 	6.50-6.54x4.05 	GIA
1.060 	D 	IF 	3Ex  	2622868 	None 	6.54-6.57x4.00 	sold
1.138 	D 	VVS1 	3Ex  	2072729 	Medium 	6.74-6.77x4.06 	-
1.114 	D 	VVS1 	3Ex  	2035408 	None 	6.68-6.73x4.08 	x
1.077 	D 	VVS1 	3Ex  	1961858 	Faint 	6.59-6.61x4.03 	-
1.058 	D 	VVS1 	3Ex  	1933625 	Faint 	6.60-6.65x3.96 	GIA
1.012 	D 	VVS1 	3Ex  	1843718 	Medium 	6.51-6.53x3.92 	-
1.052 	E 	VVS1 	3Ex  	1411617 	None 	6.59-6.61x3.95 	-
1.025 	E 	VVS1 	3Ex  	1375500 	Medium 	6.52-6.58x3.94 	-
1.231 	F 	VVS1 	3Ex  	1488204 	Faint 	6.95-6.96x4.22 	-
1.081 	F 	VVS1 	3Ex  	1246102 	Faint 	6.65-6.67x4.03 	-
1.072 	F 	VVS1 	3Ex  	1235763 	Strong 	6.58-6.60x4.02 	sold
1.153 	D 	VVS2 	3Ex  	1787644 	Medium 	6.75-6.77x4.14 	-
1.060 	D 	VVS2 	3Ex  	1643806 	Medium 	6.55-6.56x4.03 	-
1.107 	E 	VVS2 	3Ex  	1351521 	Strong 	6.57-6.60x4.12 	-
1.043 	E 	VVS2 	3Ex  	1273636 	Faint 	6.54-6.57x3.97 	-
1.030 	E 	VVS2 	3Ex  	1257816 	None 	6.57-6.59x3.96 	-
1.020 	E 	VVS2 	3Ex  	1245646 	Medium 	6.46-6.49x3.94 	-
1.015 	E 	VVS2 	3Ex  	1239561 	None 	6.56-6.61x3.90 	-
1.145 	F 	VVS2 	3Ex  	1270326 	None 	6.71-6.75x4.10 	-
1.017 	F 	VVS2 	3Ex  	1128803 	None 	6.58-6.62x3.93 	-
1.241 	G 	VVS2 	3Ex  	1307407 	None 	6.90-6.92x4.27 	-
1.034 	D 	VS1 	3Ex  	1293083 	Faint 	6.44-6.49x4.01 	-
1.024 	D 	VS1 	3Ex  	1280619 	Medium 	6.52-6.54x4.00 	-
1.030 	E 	VS1 	3Ex  	1145340 	Strong 	6.53-6.55x4.00 	-
1.169 	F 	VS1 	3Ex  	1203576 	None 	6.80-6.84x4.13 	sold
1.028 	F 	VS1 	3Ex  	1058931 	Medium 	6.46-6.49x3.99 	sold
1.070 	D 	VS2 	3Ex  	1233466 	Faint 	6.54-6.56x4.04 	-
1.032 	D 	VS2 	3Ex  	1189815 	None 	6.54-6.56x3.99 	-
1.017 	D 	VS2 	3Ex  	1172585 	Medium 	6.49-6.51x3.97 	-
1.015 	D 	VS2 	3Ex  	1170288 	Strong 	6.49-6.51x3.90 	-
1.114 	E 	VS2 	3Ex  	1147154 	Faint 	6.67-6.69x4.11 	-
1.105 	E 	VS2 	3Ex  	1144221 	Faint 	6.62-6.64x4.10 	x
0.808 	D 	IF 	3Ex  	1081136 	None 	5.92-5.94x3.74 	GIA
0.823 	D 	VVS1 	3Ex  	772586 	Faint 	6.00-6.01x3.76 	sold
0.804 	D 	VVS1 	3Ex  	760101 	Medium 	5.90-5.94x3.71 	GIA
0.809 	F 	VVS1 	3Ex  	575187 	Faint 	5.97-6.01x3.72 	-
0.805 	F 	VVS1 	3Ex  	572365 	Strong 	5.96-5.97x3.71 	-
0.801 	D 	VVS2 	3Ex  	647964 	Medium 	5.89-5.93x3.68 	sold
0.829 	F 	VVS2 	3Ex  	527497 	None 	6.10-6.13x3.67 	sold
0.806 	F 	VVS2 	3Ex  	518233 	Strong 	5.92-5.95x3.73 	sold
0.854 	E 	VS2 	3Ex  	564795 	None 	6.14-6.17x3.72 	-
0.751 	D 	IF 	3Ex  	859664 	None 	5.82-5.85x3.59 	sold
0.735 	D 	IF 	3Ex  	841554 	None 	5.72-5.77x3.58 	GIA
0.705 	D 	IF 	3Ex  	802347 	None 	5.78-5.81x3.51 	-
0.792 	D 	VVS1 	3Ex  	685698 	Medium 	5.90-5.95x3.68 	x
0.755 	D 	VVS1 	3Ex  	618738 	None 	5.94-5.97x3.55 	-
0.743 	D 	VVS1 	3Ex  	614223 	Medium 	5.80-5.83x3.58 	GIA
0.732 	D 	VVS1 	3Ex  	600022 	Faint 	5.81-5.85x3.56 	-
